20.0, 4, 76.45, 122.34
20.0, 3, 182.56, 382.19
20.0, 2, 473.60, 426.24
20.0, 1, 1020.95, 406.65
21.0, 33, 279.39, 389.34
21.0, 32, 741.01, 81.66
21.0, 27, 243.38, 372.16
21.0, 25, 676.92, 131.02
21.0, 23, 1242.52, 464.20
21.0, 18, 399.68, 247.11
21.0, 16, 488.01, 171.71
21.0, 15, 190.25, 43.30
21.0, 14, 817.76, 107.84
21.0, 13, 1219.73, 161.54
21.0, 12, 785.55, 339.11
21.0, 11, 523.43, 303.21
21.0, 9, 82.02, 603.19
21.0, 8, 636.70, 181.94
21.0, 7, 1010.48, 307.55
21.0, 6, 775.16, 619.35
21.0, 5, 927.10, 528.82
21.0, 4, 76.09, 122.24
21.0, 3, 181.91, 386.65
21.0, 2, 473.41, 424.43
21.0, 1, 1021.68, 408.70
22.0, 33, 279.01, 388.53
22.0, 32, 741.37, 81.65
22.0, 27, 243.12, 371.97
22.0, 25, 676.22, 131.82
22.0, 23, 1240.68, 460.67
22.0, 18, 400.00, 247.51
22.0, 16, 487.44, 170.43
22.0, 15, 193.34, 42.20
22.0, 13, 1219.82, 162.55
22.0, 12, 785.36, 337.79
22.0, 11, 523.52, 301.82
22.0, 9, 82.79, 603.61
22.0, 8, 636.85, 182.39
22.0, 7, 1011.09, 310.00
22.0, 6, 773.26, 611.66
22.0, 5, 923.00, 529.00
22.0, 4, 75.87, 122.00
22.0, 3, 181.44, 390.33
22.0, 2, 473.37, 422.99
22.0, 1, 1022.54, 413.06
23.0, 27, 243.12, 371.29
23.0, 23, 1236.91, 456.56
23.0, 18, 401.01, 249.29
23.0, 16, 486.78, 167.57
23.0, 15, 196.30, 40.27
23.0, 13, 1220.78, 162.60
23.0, 12, 785.43, 336.52
23.0, 11, 523.19, 299.74
23.0, 9, 83.88, 604.59
23.0, 8, 636.57, 182.83
23.0, 7, 1012.80, 313.84
23.0, 6, 772.19, 602.73
23.0, 5, 917.62, 528.78
23.0, 4, 75.34, 121.48
23.0, 3, 180.76, 395.65
23.0, 2, 473.10, 420.82
23.0, 1, 1024.53, 418.98
24.0, 27, 243.25, 371.23
24.0, 23, 1234.08, 454.65
24.0, 18, 401.63, 251.03
24.0, 16, 486.21, 165.40
24.0, 15, 197.78, 38.96
24.0, 13, 1221.41, 162.31
24.0, 12, 785.57, 335.36
24.0, 11, 522.83, 298.60
24.0, 9, 84.68, 604.87
24.0, 8, 636.25, 184.32
24.0, 7, 1013.71, 314.93
24.0, 6, 771.66, 598.40
24.0, 5, 914.07, 528.40
24.0, 4, 75.10, 121.21
24.0, 3, 180.23, 398.91
24.0, 2, 472.79, 419.32
24.0, 1, 1025.55, 422.66
25.0, 27, 243.41, 371.16
25.0, 23, 1230.35, 453.23
25.0, 18, 401.77, 252.31
25.0, 16, 485.48, 164.12
25.0, 15, 198.85, 38.30
